timestamp,type,kept,rowA,rowB
2026-03-08 23:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-08 23:00:00 UTC-7","price":"83.58","supportline":"82.48","ottValue":"82.89","trend":"bearish","signalType":""}","{"timestamp":"2026-03-08 23:00:00 UTC-7","price":"83.58","supportline":"82.48","ottValue":"82.89","trend":"bearish","signalType":""}"
2026-03-09 03:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-09 03:00:00 UTC-7","price":"85.07","supportline":"83.23","ottValue":"82.89","trend":"bearish","signalType":"price_support_cross"}","{"timestamp":"2026-03-09 03:00:00 UTC-7","price":"85.07","supportline":"83.23","ottValue":"82.89","trend":"bearish","signalType":"price_support_cross"}"
2026-03-09 07:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-09 07:00:00 UTC-7","price":"85.96","supportline":"84.06","ottValue":"82.89","trend":"bearish","signalType":""}","{"timestamp":"2026-03-09 07:00:00 UTC-7","price":"85.96","supportline":"84.06","ottValue":"82.89","trend":"bearish","signalType":""}"
2026-03-09 11:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-09 11:00:00 UTC-7","price":"84.98","supportline":"84.25","ottValue":"83.47","trend":"bullish","signalType":""}","{"timestamp":"2026-03-09 11:00:00 UTC-7","price":"84.97","supportline":"84.25","ottValue":"83.47","trend":"bullish","signalType":""}"
2026-03-09 15:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-09 15:00:00 UTC-7","price":"85.57","supportline":"84.66","ottValue":"83.65","trend":"bullish","signalType":""}","{"timestamp":"2026-03-09 15:00:00 UTC-7","price":"85.56","supportline":"84.66","ottValue":"83.65","trend":"bullish","signalType":""}"
2026-03-09 19:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-09 19:00:00 UTC-7","price":"86.68","supportline":"85.37","ottValue":"84.06","trend":"bullish","signalType":""}","{"timestamp":"2026-03-09 19:00:00 UTC-7","price":"86.68","supportline":"85.37","ottValue":"84.06","trend":"bullish","signalType":""}"
2026-03-09 23:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-09 23:00:00 UTC-7","price":"86.80","supportline":"86.06","ottValue":"84.76","trend":"bullish","signalType":""}","{"timestamp":"2026-03-09 23:00:00 UTC-7","price":"86.80","supportline":"86.06","ottValue":"84.76","trend":"bullish","signalType":""}"
2026-03-10 03:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-10 03:00:00 UTC-7","price":"88.35","supportline":"87.15","ottValue":"85.45","trend":"bullish","signalType":""}","{"timestamp":"2026-03-10 03:00:00 UTC-7","price":"88.35","supportline":"87.15","ottValue":"85.45","trend":"bullish","signalType":""}"
2026-03-10 07:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-10 07:00:00 UTC-7","price":"86.01","supportline":"86.93","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-10 07:00:00 UTC-7","price":"86.04","supportline":"86.93","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-10 11:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-10 11:00:00 UTC-7","price":"85.89","supportline":"86.76","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-10 11:00:00 UTC-7","price":"85.89","supportline":"86.76","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-10 15:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-10 15:00:00 UTC-7","price":"85.65","supportline":"86.70","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-10 15:00:00 UTC-7","price":"85.65","supportline":"86.70","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-10 19:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-10 19:00:00 UTC-7","price":"85.44","supportline":"86.64","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-10 19:00:00 UTC-7","price":"85.44","supportline":"86.64","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-10 23:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-10 23:00:00 UTC-7","price":"84.58","supportline":"86.56","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-10 23:00:00 UTC-7","price":"84.53","supportline":"86.55","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-11 03:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-11 03:00:00 UTC-7","price":"85.40","supportline":"86.54","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-11 03:00:00 UTC-7","price":"85.41","supportline":"86.54","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-11 07:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-11 07:00:00 UTC-7","price":"87.25","supportline":"86.58","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-11 07:00:00 UTC-7","price":"87.29","supportline":"86.58","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-11 11:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-11 11:00:00 UTC-7","price":"86.58","supportline":"86.58","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-11 11:00:00 UTC-7","price":"86.58","supportline":"86.58","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-11 15:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-11 15:00:00 UTC-7","price":"85.03","supportline":"86.19","ottValue":"86.53","trend":"bullish","signalType":"price_support_cross"}","{"timestamp":"2026-03-11 15:00:00 UTC-7","price":"85.02","supportline":"86.18","ottValue":"86.53","trend":"bullish","signalType":"price_support_cross"}"
2026-03-11 19:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-11 19:00:00 UTC-7","price":"85.79","supportline":"86.18","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-11 19:00:00 UTC-7","price":"85.80","supportline":"86.18","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-11 23:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-11 23:00:00 UTC-7","price":"86.81","supportline":"86.23","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-11 23:00:00 UTC-7","price":"86.81","supportline":"86.23","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-12 03:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-12 03:00:00 UTC-7","price":"86.59","supportline":"86.25","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-12 03:00:00 UTC-7","price":"86.59","supportline":"86.25","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-12 07:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-12 07:00:00 UTC-7","price":"86.83","supportline":"86.32","ottValue":"86.53","trend":"bullish","signalType":""}","{"timestamp":"2026-03-12 07:00:00 UTC-7","price":"86.83","supportline":"86.32","ottValue":"86.53","trend":"bullish","signalType":""}"
2026-03-12 15:00:00 UTC-7,exact,first,"{"timestamp":"2026-03-12 15:00:00 UTC-7","price":"89.75","supportline":"87.46","ottValue":"86.53","trend":"bullish","signalType":"price_support_cross"}","{"timestamp":"2026-03-12 15:00:00 UTC-7","price":"89.75","supportline":"87.46","ottValue":"86.53","trend":"bullish","signalType":"price_support_cross"}"
2026-03-12 19:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-12 19:00:00 UTC-7","price":"88.67","supportline":"87.58","ottValue":"86.84","trend":"bullish","signalType":""}","{"timestamp":"2026-03-12 19:00:00 UTC-7","price":"88.69","supportline":"87.58","ottValue":"86.84","trend":"bullish","signalType":""}"
2026-03-12 23:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-12 23:00:00 UTC-7","price":"90.36","supportline":"88.32","ottValue":"86.95","trend":"bullish","signalType":""}","{"timestamp":"2026-03-12 23:00:00 UTC-7","price":"90.34","supportline":"88.32","ottValue":"86.96","trend":"bullish","signalType":""}"
2026-03-13 03:00:00 UTC-7,conflicting,last,"{"timestamp":"2026-03-13 03:00:00 UTC-7","price":"89.53","supportline":"88.74","ottValue":"87.70","trend":"bullish","signalType":""}","{"timestamp":"2026-03-13 03:00:00 UTC-7","price":"89.51","supportline":"88.73","ottValue":"87.70","trend":"bullish","signalType":""}"
